Date,Stars,Helpful Votes
April/2/2017,5.0,0
August/26/2018,5.0,0
April/18/2017,5.0,0
March/15/2018,5.0,0
July/16/2015,3.0,0
June/23/2009,2.0,0
October/22/2017,5.0,0
January/23/2017,5.0,0
July/15/2018,5.0,0
October/20/2017,5.0,0
September/3/2018,5.0,0
November/5/2016,5.0,0
May/8/2018,5.0,0
December/14/2017,5.0,0
May/29/2018,5.0,0
January/17/2018,4.0,0
April/22/2017,4.0,0
August/21/2014,5.0,0
March/28/2016,5.0,0
September/1/2015,5.0,0
January/24/2018,5.0,0
February/3/2015,3.0,0
September/21/2017,5.0,0
August/4/2016,3.0,0
February/3/2018,5.0,0
December/2/2015,2.0,0
October/28/2017,5.0,0
September/20/2017,2.0,0
March/19/2016,5.0,0
August/19/2016,5.0,0
December/21/2017,5.0,0
September/23/2015,5.0,0
May/14/2016,5.0,0
March/19/2018,5.0,0
April/3/2017,5.0,0
February/11/2016,5.0,0
June/30/2016,1.0,0
November/21/2015,5.0,0
April/23/2015,1.0,0
November/13/2017,5.0,0
February/21/2018,5.0,0
March/23/2018,1.0,0
September/5/2017,5.0,0
March/26/2016,4.0,0
May/24/2015,5.0,0
December/27/2014,5.0,0
April/20/2016,3.0,0
February/21/2013,2.0,0
December/30/2015,5.0,0
March/20/2018,5.0,0
November/28/2015,3.0,0
April/15/2016,5.0,0
April/6/2016,5.0,0
November/6/2014,5.0,0
August/25/2018,5.0,0
July/6/2014,4.0,0
May/10/2013,3.0,0
September/2/2014,5.0,0
September/2/2014,4.0,0
July/23/2016,1.0,0
June/2/2018,5.0,0
October/8/2016,3.0,0
January/21/2015,5.0,0
November/28/2017,5.0,0
April/6/2018,5.0,0
May/27/2015,5.0,0
June/27/2015,4.0,0
February/9/2017,5.0,0
July/25/2017,5.0,0
May/15/2016,1.0,0
October/13/2015,5.0,0
April/19/2018,4.0,0
January/19/2013,5.0,0
August/5/2016,4.0,0
December/28/2016,5.0,0
March/19/2017,2.0,0
October/18/2017,2.0,0
October/8/2014,5.0,0
September/22/2016,5.0,0
November/4/2015,1.0,0
December/9/2013,4.0,0
July/10/2015,3.0,0
January/25/2016,3.0,0
October/1/2017,4.0,0
June/6/2018,5.0,0
March/3/2015,5.0,0
April/10/2014,5.0,0
August/29/2015,3.0,0
July/6/2010,3.0,0
October/17/2017,5.0,0
September/26/2017,5.0,0
April/6/2018,5.0,0
